Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Lead Data Scientist,Employer Provided Salary:$149K - $200K,"Job Overview
Data Scientists at Disney are the insights and modeling partners for the growth, content, marketing, product, and engineering teams at Disney, Hulu and ESPN+. They use data to empower decision-makers with information, predictions, and insights that ultimately influence the experiences of millions of users worldwide. Scientists on the team build models, perform statistical analysis, and create visualizations to provide scalable, persistent capability that is iteratively improved through direct interaction with cross-functional business partners.
As a lead data scientist in the Ads Data Solution Research team, you will be partnering closely with the Sales Analytics, Finance, Business Operations, Commerce Product and Engineering teams to develop models for tackling a multitude of exciting challenges, including revenue, inventory, delivery, outcome, pricing of advertising, customer lifetime value estimation, forecasting, fraud prevention and mitigation, and more. We look for someone with deep analytical and modeling expertise, a proven track record of thought leadership and eagerness to drive impact.

The hiring range for this position in Santa Monica, California is $149,240 - $200,200 per year. The base pay actually offered will take into account internal equity and also may vary depending on the candidate’s geographic region, job-related knowledge, skills, and experience among other factors. A bonus and/or long-term incentive units may be provided as part of the compensation package, in addition to the full range of medical, financial, and/or other benefits, dependent on the level and position offered.
Show More
Report","Disney Media & Entertainment Distribution
3.9","Disney Media & Entertainment Distribution
3.9","Santa Monica, CA",10000+ Employees,1923,Company - Public,Film Production,Media & Communication,$10+ billion (USD)
Data Science Project Manager,Employer Provided Salary:$130K - $160K,"The Data Science Project Manager will support the Department of State (DOS) Center for Analytics (CfA) in a dynamic role that may evolve over time, as the organizational needs change. The Data Science Project Manager is ideally an early/mid-career data scientist with solid fundamentals of data science coupled with exceptional organizational, professional, and personal skills. The Data Science Project Manager needs a do-whatever-it-takes attitude, knowing they will get valuable exposure to senior data scientists and a wide variety of important data science projects.
The Data Science Project Manager will support the DOS Chief Data Scientist, who has a broad set of responsibilities and duties. The Data Science Project Manager will support the Chief Data Scientist as a facilitator, organizer, coordinator, advisor, and general support in meetings, working groups, and technical environments.
The Chief Data Scientist is responsible for technical oversight the dozens of data projects of varying size, scope, and complexity in the CfA project pipeline. The Data Science Project Manager will track these projects on behalf of the Chief Data Scientist, while coordinating with CfA’s cross-functional staff on schedules, documentation, responsibilities, and other project logistics.
Show More
Report",Bright Star Solutions LLC,Bright Star Solutions LLC,"Washington, DC",-1,-1,-1,-1,-1,-1
Data Scientist III,$102K - $132K (Glassdoor est.),"Battelle delivers when others can’t. We conduct research and development, manage national laboratories, design and manufacture products and deliver critical services for our clients—whether they are a multi-national corporation, a small start-up or a government agency.

We recognize and appreciate the value and contributions of individuals with diverse backgrounds and experiences and welcome all qualified individuals to apply.
Job Summary
Battelle’s Trust and Assurance Cyber Analytics Department is seeking Mid-Level Data Scientists to work in our Columbus, Ohio location.















Show More
Report","Battelle
3.9","Battelle
3.9","Columbus, OH",1001 to 5000 Employees,1929,Nonprofit Organization,Research & Development,Management & Consulting,$5 to $10 billion (USD)
"Acoustic Signal Processing Engineer - Data Scientist, Machine Learning",Employer Provided Salary:$100K - $159K,"Signal Systems Corporation (SSC) is searching for highly motivated engineers to support the development of next generation sonar systems and sonar signal processing algorithms for a range of Naval applications. You will work alongside scientists and experts in the field to implement new technologies and deliver highly impactful solutions that are changing the state of the art. SSC has a 25-year history of leveraging its institutional and individual expertise in distributed acoustic sensors, active noise control, acoustic surveillance, machine learning, audio enhancement and interference rejection to provide engineering solutions for both government and commercial customers in underwater, sonic and ultrasonic domains.
As a Signal Processing Algorithm Engineer, you will…
Research, design, develop, test, document, and maintain algorithms and software related to active and passive acoustics
Show More
Report",Signal Systems Corporation,Signal Systems Corporation,"Millersville, MD",-1,-1,-1,-1,-1,-1
Senior Data Scientist (Computer Science),Employer Provided Salary:$110K - $160K,"Near-Miss Management (NMM) is seeking a talented and highly motivated Senior Data Scientist to further develop and scale its unique web-based data analytics platform. NMM provides powerful analytics software, based on machine learning and AI, to the chemical and energy industry – to improve reliability, and minimize failures and losses.
Within our engineering team, your voice will be a valuable asset to product development. You will be in a unique position to define/undertake technical needs of the software and help shape the future of its technology. You will enjoy an intellectually creative atmosphere as you work with an experienced and enthusiastic team that strives continuously to build and deliver a robust, reliable software system.
Responsibilities
One of the main responsibilities of this role is development of a new flagship product in Python using the Scipy/Numpy/Pandas stack. Further, you will be responsible for leading our efforts in improvement of existing data analytics and machine-learning models (implemented in Python using the Scipy/Numpy/Pandas stack). Aside from analytics, another important aspect of the role involves enhancement of the existing processing pipeline, which executes the analytics in a parallelized and distributed fashion – you will assist in refining that pipeline on an ongoing basis as new features and products are developed.
Show More
Report",Near-Miss Management,Near-Miss Management,"Philadelphia, PA",-1,-1,-1,-1,-1,-1
E-commerce Data Scientist - Health and Wellness - California REMOTE,Employer Provided Salary:$110K - $130K,"THE ROLE: E-commerce Data Scientist
Stingray Direct, a dynamic and fast-growing e-commerce company, is seeking a skilled Ecommerce Data Scientist to join our team. We aim to optimize the customer experience and drive business growth by leveraging data and advanced analytics. A successful candidate will have extensive experience in analyzing key ecommerce and subscription metrics, conducting A/B tests, data modeling, and machine learning. Proficiency with Excel, SQL, Python, and Google Analytics is a must.
*
Requirements*
KEY E-COMMERCE DATA SCIENTIST RESPONSIBILITIES:
Design, manage, and interpret comprehensive analyses related to the customer lifecycle, focusing on key subscription and e-commerce metrics.








Show More
Report",Stingray Direct,Stingray Direct,California,-1,-1,-1,-1,-1,-1
Data Scientist I (Lending Analytics & Credit Risk),$129K - $185K (Glassdoor est.),"Overview
Provide analytical credit risk insights and perform analysis to assist in guiding credit risk decisions and business planning. Participate in a variety of analytical efforts to support automation, model development, business analysis, and reporting. Deliver insights to auditors, regulators, rating agencies, model risk management, and other key decision makers. Conduct work assignments of increasing complexity under moderate supervision with some latitude for independent judgment. Intermediate professional within field.
Responsibilities
Create data visualizations and/or dashboards to monitor and explain risk trends that are relevant for loss and originations modeling




Monday - Friday, 8:00AM - 4:30PM

820 Follin Lane, Vienna, VA 22180 | 5550 Heritage Oaks Dr. Pensacola, FL 32526

Navy Federal is now hybrid! Our standard enterprise requirement for a hybrid schedule is to report on-site 4-16 days each month. The number of days reporting on-site will ultimately be determined by the employee's leadership and business unit needs. You will learn more throughout the hiring and on boarding process.
You have goals, dreams, hobbies, and things you're passionate about—what's important to you is important to us. We're looking for people who not only want to do meaningful, challenging work, keep their skills sharp and move ahead, but who also take time for the things that matter to them—friends, family, and passions. And we're looking for team members who are passionate about our mission—making a difference in military members' and their families' lives. Together, we can make it happen. Don't take our word for it:









Equal Employment Opportunity: Navy Federal values, celebrates, and enacts diversity in the workplace. Navy Federal takes affirmative action to employ and advance in employment qualified individuals with disabilities, disabled veterans, Armed Forces service medal veterans, recently separated veterans, and other protected veterans. EOE/AA/M/F/Veteran/Disability EOE/AA/M/F/Veteran/Disability
Disclaimers: Navy Federal reserves the right to fill this role at a higher/lower grade level based on business need. An assessment may be required to compete for this position. Job postings are subject to close early or extend out longer than the anticipated closing date at the hiring team’s discretion based on qualified applicant volume. Navy Federal Credit Union assesses market data to establish salary ranges that enable us to remain competitive. You are paid within the salary range, based on your experience, location and market position
Bank Secrecy Act: Remains cognizant of and adheres to Navy Federal policies and procedures, and regulations pertaining to the Bank Secrecy Act.
Show More
Report","Navy Federal Credit Union
4.1","Navy Federal Credit Union
4.1","Pensacola, FL",10000+ Employees,1933,Self-employed,Banking & Lending,Financial Services,Unknown / Non-Applicable
Senior Data Scientist,$113K - $152K (Glassdoor est.),"Position Summary:
As a Senior Data Scientist, you will drive the development and implementation of next-generation Supply Chain & Logistics Analytics for Penske. With a robust background in data science and a strong command of machine learning, coding, and distributed computing systems such as PySpark, your role will be instrumental in establishing and advancing Penske's predictive analytics capabilities, particularly at the enterprise level.
In addition to your hands-on contributions, you will serve as a mentor to less experienced data scientists, guiding them towards professional growth and instilling a culture of best practices within the team. As a Senior Data Scientist, you will simultaneously navigate multiple projects, each of significant scale and complexity, with potential organization-wide impact. You will be expected to provide detailed analysis, formulate project approaches, and define their scope. Success in this role involves extensive cross-functional collaboration with customers, vendors, and suppliers.

Show More
Report","Penske
3.5","Penske
3.5","Reading, PA",10000+ Employees,1969,Company - Private,Shipping & Trucking,Transportation & Logistics,$5 to $10 billion (USD)
Sr. Software Engineer,$86K - $136K (Glassdoor est.),"The Alaka`ina Foundation Family of Companies (FOCs) is looking for a qualified Sr. Software Engineer to support our government customer located at Kirtland Air Force Base in Albuquerque, NM. This position will be on site.
Are you a data scientist that wants to explore some problems in natural language processing, image, and/or video analysis? Do you feel constrained by people that don’t “trust data machine learning” and just want to break free to clean, process, analyze, and learn on exotic data to your heart’s content?
We’ve got millions of documents that need to be digitized, OCRed, and analyzed using machine learning for information like, titles, authors, etc. but we also want to automatically extract and create time-series data from pictures of graphs! Plus, we fully endorse exploration of transformer models to semantic reasoning over this textual data.


Show More
Report","Alaka`ina Foundation Family of Companies
3.7","Alaka`ina Foundation Family of Companies
3.7","Kirtland AFB, NM",1001 to 5000 Employees,-1,Government,Civic & Social Services,Nonprofit & NGO,Unknown / Non-Applicable
Data Scientist Jr,$78K - $122K (Glassdoor est.),"Overview:
Systems Planning and Analysis, Inc. (SPA) delivers high-impact, technical solutions to complex national security issues. With over 50 years of business expertise and consistent growth, we are known for continuous innovation for our government customers, in both the US and abroad. Our exceptionally talented team is highly collaborative in spirit and practice, producing Results that Matter. Come work with the best! We offer opportunity, unique challenges, and clear-sighted commitment to the mission. SPA: Objective. Responsive. Trusted.

This work will assist the Government in strategic integration to counter WMD in support of CCMDs drive synergies to services and CCMDS. SPA provides expertise across the full range of chemical, biological, radiological, nuclear and high-yield explosives (CBRNE) WMD, Counter Improvised Threat and Countering Threat Network technologies to support understanding, detection, identification, characterization, denial, control, disabling, defeating, disposing, safeguarding the force, managing consequences, and test and evaluation in support of military and civilian operations.

Responsibilities:
Qualifications:

Show More
Report","Systems Planning and Analysis, Inc.
4.4","Systems Planning and Analysis, Inc.
4.4","Lorton, VA",1001 to 5000 Employees,1972,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD)
Data Quality Engineer - All-Payor Claims Database - Hybrid,Employer Provided Salary:$81K - $121K,"What we do here changes the world. UTHealth Houston is Texas’ resource for healthcare education, innovation, scientific discovery, and excellence in patient care. That’s where you come in.
We are seeking a Full-Time Data Quality Engineer to join the UTHealth Center for Healthcare Data as part of the School of Public Health in Houston, TX 77030. This is a hybrid position that requires the employee to reside in Texas. In this position, you will join a fantastic team that strives to make a meaningful difference in the quality of data available to researchers doing innovative healthcare research. The Data Quality Engineer is a skillful team player with a clear track record of transforming big data into actionable insights, which leads to improvements in data quality and associated standards and processes. This individual is a deliberate and systematic scientist who can clearly articulate the goals of the data quality program, practice with rigor and precision, and maintain a balanced/independent point of view to achieve targeted data quality standards.
It’s because we reward our team for the excellent service they provide. Our total rewards package includes the benefits you’d expect from a top healthcare organization (benefits, insurance, etc.), plus:


Show More
Report","UTHealth Houston
3.8","UTHealth Houston
3.8","Houston, TX",5001 to 10000 Employees,1972,College / University,Colleges & Universities,Education,$1 to $5 billion (USD)
"Data Scientist, Medical Research",-1,"At Horizon Therapeutics, we define success by the number of lives touched, lives changed, and lives saved. Our global biotechnology company is made up of agile, out-of-the-box thinkers with a focus on delivering breakthrough medicines to those living with rare, autoimmune, and severe inflammatory diseases. This is the heart of our global mission. Start a career that enables you to live up to your potential and help others live up to theirs. Join us.

The exceptional support we provide patients and communities equally extends to our employees. We offer industry-leading and award-winning benefits, compensation and rewards programs that positively impact all areas of our employees' personal and professional lives.

Position Summary:

The Data Science team at Horizon Therapeutics is looking for an extraordinary data scientist who is passionate about crafting, developing, and fielding data science solutions that drives impact for patients.

The Data Scientist, Medical Research will partner with Horizon's various medical teams (Med Affairs, R&D, Commercial Development) to develop insights and understanding from data. This role will leverage cutting edge data science technologies and methods to help produce health outcomes publications, as well as uncover deeper insights about how our life-changing medicines are being used. The Data Scientist will be a key functional contributor, and must understand the medical landscape surrounding our products, as well as the analytics techniques necessary to produce publishable insights. They should be comfortable working with large, complex, and noisy datasets. The data scientist will automate recurring deliverables, manipulate transactional data to usable formats, and present clear visualizations.









At Horizon, we know that disease does not discriminate. We embrace the bold ideas of one another, foster a sense of belonging, and value inclusion. We attract and develop diverse talent because we believe that when people from different backgrounds and life experiences come together, we make lives better.

Horizon intends that all qualified applications are given equal opportunity, and that selection decisions be based on job-related factors. We do not discriminate based on race, color, religion, gender, sexual orientation, national origin, age, disability, veteran status, or any other characteristics protected by law.
Show More
Report","Horizon Therapeutics
4.4","Horizon Therapeutics
4.4","Deerfield, IL",501 to 1000 Employees,2008,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 billion (USD)
Senior Data Scientist/Methodologist,Employer Provided Salary:$200K - $280K,"The Senior Data Scientist/Methodologist will support the Department of State (DOS) Center for Analytics (CfA) in a dynamic role that may evolve over time, as the organizational needs change. The DOS Chief Data Scientist has a broad set of responsibilities and duties that require support from a professional and technical staff, of which the Senior Data Scientist/Methodologist a senior member. The primary responsibility of the Senior Data Scientist/Methodologist will be to support the Chief Data Scientist as advisor, subject matter expert, and surrogate in meetings, working groups, and technical environments. The Senior Data Scientist/Methodologist will evaluate data science projects, provide recommendations and improvements to the Chief Data Scientist and/or analytics project staff, working closely with them to implement improvements as necessary.
The Senior Data Scientist/Methodologist will evaluate, recommend, and support the implementation of technology stack and software toolset optimizations and additions. The Senior Data Scientist/Methodologist lead or independently execute analytics projects, as needed. The Senior Data Scientist/Methodologist will provide expert input on Large Language Models (LLM), Natural Language Processing (NLP), Artificial Intelligence/Machine Learning (AI/ML), data science models, and other technical topics.

Show More
Report",Bright Star Solutions LLC,Bright Star Solutions LLC,"Washington, DC",-1,-1,-1,-1,-1,-1
Biostatistician,$72K - $107K (Glassdoor est.),"Title: Biostatistician

Location: Pennsylvania-Pittsburgh

Posted Date: Jul 28, 2023

Organization: Med-Orthopedic Surgery

Description: Applies scientific methodology to conceptualize, propose, and implement appropriate methodologies for statistical analyses. Maintains and updates centralized research awards database. Assists with grant preparations and clinical trial budgets. Develops and validates reporting data, validates data subsets of funding data, and facilitates quality control procedures to ensure data accuracy.

The Department of Orthopedics at the University of Pittsburgh is seeking a highly motivated Master's Level Biostatistician to join a multidisciplinary team of physicians dedicated to treating musculoskeletal conditions. This position will collaborate and advise faculty on the appropriate statistical methods and ultimately apply them to research design and outcomes analysis. The analyst will have opportunities for authorship on publications stemming from their work and will play a key role in producing and sharing the results the broader scientific community.Education/Experience • Master's Degree in related field of biostatistics, data science, or epidemiology. • 0 years required (1-3 years preferred) of biostatistical consulting experience. Competencies • Strong knowledge of statistical software such as SAS, R, or STATA.• Excellent written and verbal communication skills.• Intermediate proficiency in data preparation, descriptive analyses, comparative statistics, and advanced statistical modeling.• Possess ability to interpret technical medical data and generate sound recommendations to support clinical research efforts.• Ability to work independently and as part of a team.• Demonstrate good organization skills, effective time management, and the ability to manage several concurrent tasks.• Maintain a team-oriented approach and possesses the ability to cultivate a positive and collegial workplace relationships - demonstrating integrity and ethics at all times.This job will start as hybrid with the potential of full remote.

The University of Pittsburgh is committed to championing all aspects of diversity, equity, inclusion, and accessibility within our community. This commitment is a fundamental value of the University and is crucial in helping us advance our mission, which includes attracting and retaining diverse workforces. We will continue to create and maintain an environment that allows individuals to discover, belong, contribute, and grow, while honoring the experiences, perspectives, and unique identities of all.

The University of Pittsburgh is an Affirmative Action/Equal Opportunity Employer and values equality of opportunity, human dignity and diversity. EOE, including disability/vets.

Full-time regular

Staff.Medical Data Scientist I

Research

Data Science

Pittsburgh

Master's Degree


Combination of education and relevant experience will be considered in lieu of education and/ or experience requirement.


M-F 8-4

Hybrid: Combination of On-Campus and Remote work as determined by the department.

TBD Based Upon Qualifications

No

No

For position finalists, employment with the University will require successful completion of a background check

Not Applicable

Resume, Cover Letter

Not Applicable

• Assist in protocol development by implementing proper study design methodology, performing sample size and power calculations, and generating randomization schedules. • Make recommendations for appropriate statistical analyses and design to investigators and study team. • Collaborate on grants, presentations and manuscripts submitted for publication, including writing methods sections and analysis plans for incorporation into protocol and grant submissions. • Contribute to teaching biostatistical methodology to medical students, residents, and fellows. • Stay informed of statistical techniques as applied to musculoskeletal research issues by reading journals and/or attending courses/programming meetings.

N/A

Show More
Report","University of Pittsburgh
3.9","University of Pittsburgh
3.9","Pittsburgh, PA",10000+ Employees,1787,College / University,Colleges & Universities,Education,Less than $1 million (USD)
Data Scientist III,-1,"POSITION SUMMARY:
The Data Scientist III demonstrates leadership skills and the ability to mentor and guide junior data scientists. This includes providing guidance on complex projects, sharing best practices, and fostering a collaborative and supportive environment. Data Scientist III contributes to strategic decision-making processes by leveraging their advanced data analysis skills and understanding of the business domain. They are able to translate data insights into actionable recommendations that align with organizational goals. Additionally, the Data Scientist III remains up-to-date with the latest advancements in the field of data science and contributes to research and innovation within the organization. The individual in this position has the ability to tackle complex and ambiguous business problems by developing advanced analytical models and leveraging sophisticated techniques. This includes utilizing machine learning, deep learning, natural language processing, or other advanced methods to extract insights and drive impactful decision-making.
Show More
Report","Les Schwab Headquarters
3.3","Les Schwab Headquarters
3.3","Bend, OR",5001 to 10000 Employees,1952,Company - Private,Automotive Parts & Accessories Stores,Retail & Wholesale,$100 to $500 million (USD)
Data Scientist,Employer Provided Salary:$70.00 - $80.00 Per Hour,"Role Summary:
This role will support and drive growth within the Advanced Analytics team, which is focused on using quantitative models to support business decisions. This is an exciting role to participate in a newly developed department and to shape how Advanced Analytics is used to support Buckeye’s safety, operations, and financial goals in multiple lines of business.
Responsibilities & Essential Functions include:
· Partner with Subject Matter Experts in various lines of business to identify opportunities to apply quantitative methods, automation solutions and analytical frameworks to improve business performance and process efficiencies
· Use foundational data science methodologies and input from Subject Matter Experts to identify relationships/drivers in data assets to improve key metrics of safety, predictive failure detection, asset performance, and financial forecasting
Show More
Report",Neo Technologies LLC,Neo Technologies LLC,"Allentown, PA",-1,-1,-1,-1,-1,-1
Senior Data Scientist,$115K - $154K (Glassdoor est.),"Job Description:
We are currently hiring a Senior Data Scientist to help grow our company and ensure our mission is achieved!
This position is eligible for remote work with some days in the office in our Draper, Utah location. Candidate must live within a 60-mile radius of Draper, Utah.

WE ARE: A team of hungry entrepreneurs with big dreams, gritty FinTech experts, passionate about disrupting big markets, joined on a mission to modernize and accelerate our technical environment. We like to move quickly, break things, make mistakes, and get better every day, as long as we are continuously delivering.

A driven analytics professional. As a Senior Data Scientist, you will blend analytics, data mining, machine learning, and software engineering to build solutions that will result in massive improvements to the way we do business. You will be responsible for developing and improving key decision systems and predictive models to drive maximum business impact. You will develop a profound understanding of our customers, business processes, products, and financials by studying the data that describe each of these elements of our business. You will be at the forefront of this rapidly evolving field and have the opportunity to develop your own tools and technologies as you do. Most importantly, you’ll be part of a team that forms the backbone of a fast-growing company at the forefront of an exciting, growing industry.



Show More
Report","Vive Financial
3.7","Vive Financial
3.7","Draper, UT",201 to 500 Employees,1983,Subsidiary or Business Segment,Banking & Lending,Financial Services,Unknown / Non-Applicable
Sr. Data Scientist,$91K - $127K (Glassdoor est.),"US citizens and Green Card Holders and those authorized to work in the US are encouraged to apply. We are unable to sponsor H1B candidates at this time.
Hybrid onsite 3-4 days a week in Boston or Webster, MA from day 1
This is a high-level Data Science role on our Advanced Analytics team. You will work in a highly collaborative environment, influencing projects that are highly visible, with a direct impact on company strategy.
Work autonomously on advanced, complex projects or business issues requiring a high expertise of technical or data knowledge, collaborating with the rest of the team.
Leading the use of graphs for Machine learning (ML).
Show More
Report","New Age Software Services, Inc
4.5","New Age Software Services, Inc
4.5","Boston, MA",1 to 50 Employees,-1,Company - Private,Computer Hardware Development,Information Technology,$1 to $5 million (USD)
